,Year,Musical,Book,Music,Lyrics
50,1967 | 21st Tony Awards,I Do! I Do!,Tom Jones,Harvey Schmidt,Jones
51,1967 | 21st Tony Awards,The Apple Tree,Jerry Bock & Sheldon Harnick,Bock,Harnick
52,1967 | 21st Tony Awards,Walking Happy,Ketti Frings & Roger O. Hirson,Jimmy Van Heusen,Sammy Cahn
53,1968 | 22nd Tony Awards,"Hallelujah, Baby!",Arthur Laurents,Jule Styne,Betty Comden & Adolph Green
54,1968 | 22nd Tony Awards,The Happy Time,N. Richard Nash,John Kander,Fred Ebb
55,1968 | 22nd Tony Awards,"How Now, Dow Jones",Max Shulman,Elmer Bernstein,Carolyn Leigh
56,1968 | 22nd Tony Awards,Illya Darling,Jules Dassin,Manos Hatzidakis,Joe Darion
57,1969 | 23rd Tony Awards,1776,Peter Stone,Sherman Edwards,Sherman Edwards
58,1969 | 23rd Tony Awards,Hair,James Rado & Gerome Ragni,Galt MacDermot,Rado
59,1969 | 23rd Tony Awards,"Promises, Promises",Neil Simon,Burt Bacharach,Hal David
60,1969 | 23rd Tony Awards,Zorba,Joseph Stein,John Kander,Fred Ebb
61,1970 | 24th Tony Awards,Applause,Betty Comden & Adolph Green,Charles Strouse,Lee Adams
62,1970 | 24th Tony Awards,Coco,Alan Jay Lerner,André Previn,Lerner
63,1970 | 24th Tony Awards,Purlie,"Ossie Davis, Philip Rose & Peter Udell",Gary Geld,Udell
64,1971 | 25th Tony Awards,Company,George Furth,Stephen Sondheim,Stephen Sondheim
65,1971 | 25th Tony Awards,The Me Nobody Knows,"Stephen M. Joseph, Robert H. Livingston & Herb Schapiro",Gary William Friedman,Will Holt
66,1971 | 25th Tony Awards,The Rothschilds,Sherman Yellen,Jerry Bock,Sheldon Harnick
67,1972 | 26th Tony Awards,Two Gentlemen of Verona,John Guare & Mel Shapiro,Galt MacDermot,Guare
68,1972 | 26th Tony Awards,Ain't Supposed to Die a Natural Death,Block,Block,Block
69,1972 | 26th Tony Awards,Follies,James Goldman,Stephen Sondheim,Stephen Sondheim
70,1972 | 26th Tony Awards,Grease,Warren Casey & Jim Jacobs,Warren Casey & Jim Jacobs,Warren Casey & Jim Jacobs
71,1973 | 27th Tony Awards,A Little Night Music,Hugh Wheeler,Stephen Sondheim,Stephen Sondheim
72,1973 | 27th Tony Awards,"Don't Bother Me, I Can't Cope",Micki Grant,Micki Grant,Micki Grant
73,1973 | 27th Tony Awards,Pippin,Bob Fosse & Roger O. Hirson,Stephen Schwartz,Stephen Schwartz
74,1973 | 27th Tony Awards,Sugar,Peter Stone,Jule Styne,Bob Merrill
75,1974 | 28th Tony Awards,Raisin,Robert Nemiroff & Charlotte Zaltzberg,Judd Woldin,Robert Brittan
76,1974 | 28th Tony Awards,Over Here!,Will Holt,Sherman Brothers,Sherman Brothers
77,1974 | 28th Tony Awards,Seesaw,Michael Bennett,Cy Coleman,Dorothy Fields
78,1975 | 29th Tony Awards,The Wiz,William F. Brown,Charlie Smalls,Charlie Smalls
79,1975 | 29th Tony Awards,Mack & Mabel,Michael Stewart,Jerry Herman,Jerry Herman
80,1975 | 29th Tony Awards,The Lieutenant,"Gene Curty, Nitra Scharfman & Chuck Strand","Gene Curty, Nitra Scharfman & Chuck Strand","Gene Curty, Nitra Scharfman & Chuck Strand"
81,1975 | 29th Tony Awards,Shenandoah,"James Lee Barrett, Philip Rose & Peter Udell",Gary Geld,Udell
82,1976 | 30th Tony Awards,A Chorus Line,James Kirkwood Jr. & Nicholas Dante,Marvin Hamlisch,Ed Kleban
83,1976 | 30th Tony Awards,Bubbling Brown Sugar,Loften Mitchell,Various,Various
84,1976 | 30th Tony Awards,Chicago,Fred Ebb & Bob Fosse,John Kander,Ebb
85,1976 | 30th Tony Awards,Pacific Overtures,John Weidman,Stephen Sondheim,Stephen Sondheim
86,1977 | 31st Tony Awards,Annie,Thomas Meehan,Charles Strouse,Martin Charnin
87,1977 | 31st Tony Awards,Happy End,Elisabeth Hauptmann,Kurt Weill,Bertolt Brecht
88,1977 | 31st Tony Awards,I Love My Wife,Michael Stewart,Cy Coleman,Stewart
89,1977 | 31st Tony Awards,Side by Side by Sondheim,N/A,Stephen Sondheim,Stephen Sondheim
90,1978 | 32nd Tony Awards,Ain't Misbehavin',Murray Horwitz & Richard Maltby Jr.,Fats Waller,Various
91,1978 | 32nd Tony Awards,Dancin',N/A,Various,Various
92,1978 | 32nd Tony Awards,On the Twentieth Century,Betty Comden & Adolph Green,Cy Coleman,Comden & Green
93,1978 | 32nd Tony Awards,Runaways,Elizabeth Swados,Elizabeth Swados,Elizabeth Swados
94,1979 | 33rd Tony Awards,Sweeney Todd,Hugh Wheeler,Stephen Sondheim,Stephen Sondheim
95,1979 | 33rd Tony Awards,Ballroom,Jerome Kass,Billy Goldenberg,Alan & Marilyn Bergman
96,1979 | 33rd Tony Awards,The Best Little Whorehouse in Texas,Larry L. King & Peter Masterson,Carol Hall,Carol Hall
97,1979 | 33rd Tony Awards,They're Playing Our Song,Neil Simon,Marvin Hamlisch,Carole Bayer Sager
98,1980 | 34th Tony Awards,Evita,Tim Rice,Andrew Lloyd Webber,Rice
99,1980 | 34th Tony Awards,A Day in Hollywood / A Night in the Ukraine,Dick Vosburgh,Frank Lazarus,Vosburgh
100,1980 | 34th Tony Awards,Barnum,Mark Bramble,Cy Coleman,Michael Stewart
101,1980 | 34th Tony Awards,Sugar Babies,Ralph G. Allen,Jimmy McHugh,Al Dubin & Dorothy Fields
102,1981 | 35th Tony Awards,42nd Street,Mark Bramble & Michael Stewart,Harry Warren,Al Dubin
103,1981 | 35th Tony Awards,Sophisticated Ladies,Donald McKayle,Duke Ellington,Various
104,1981 | 35th Tony Awards,Tintypes,Mel Marvin & Gary Pearle,Various,Various
105,1981 | 35th Tony Awards,Woman of the Year,Peter Stone,John Kander,Fred Ebb
106,1982 | 36th Tony Awards,Nine,Arthur Kopit,Maury Yeston,Maury Yeston
107,1982 | 36th Tony Awards,Dreamgirls,Tom Eyen,Henry Krieger,Eyen
108,1982 | 36th Tony Awards,Joseph and the Amazing Technicolor Dreamcoat,Tim Rice,Andrew Lloyd Webber,Rice
109,1982 | 36th Tony Awards,Pump Boys and Dinettes,"John Foley, Mark Hardwick, Debra Monk, Cass Morgan, John Schimmel & Jim Wann","John Foley, Mark Hardwick, Debra Monk, Cass Morgan, John Schimmel & Jim Wann","John Foley, Mark Hardwick, Debra Monk, Cass Morgan, John Schimmel & Jim Wann"
110,1983 | 37th Tony Awards,Cats,T. S. Eliot,Andrew Lloyd Webber,Eliot & Trevor Nunn
111,1983 | 37th Tony Awards,Blues in the Night,N/A,Various,Various
112,1983 | 37th Tony Awards,Merlin,Richard Levinson & William Link,Elmer Bernstein,Don Black
113,1983 | 37th Tony Awards,My One and Only,Timothy S. Mayer & Peter Stone,George Gershwin,Ira Gershwin
114,1984 | 38th Tony Awards,La Cage aux Folles,Harvey Fierstein,Jerry Herman,Jerry Herman
115,1984 | 38th Tony Awards,Baby,Sybille Pearson,David Shire,Richard Maltby Jr.
116,1984 | 38th Tony Awards,Sunday in the Park with George,James Lapine,Stephen Sondheim,Stephen Sondheim
117,1984 | 38th Tony Awards,The Tap Dance Kid,Charles Blackwell,Henry Krieger,Robert Lorick
118,1985 | 39th Tony Awards,Big River,William Hauptman,Roger Miller,Roger Miller
119,1985 | 39th Tony Awards,Grind,Fay Kanin,Larry Grossman,Ellen Fitzhugh
120,1985 | 39th Tony Awards,Leader of the Pack,Anne Beatts,Ellie Greenwich,Various
121,1985 | 39th Tony Awards,Quilters,Barbara Damashek & Molly Newman,Damashek,Damashek
122,1986 | 40th Tony Awards,The Mystery of Edwin Drood,Rupert Holmes,Rupert Holmes,Rupert Holmes
123,1986 | 40th Tony Awards,Big Deal,Bob Fosse,Various,Various
124,1986 | 40th Tony Awards,Song and Dance,N/A,Andrew Lloyd Webber,Don Black
125,1986 | 40th Tony Awards,Tango Argentino,N/A,Various,Various
126,1987 | 41st Tony Awards,Les Misérables,Alain Boublil & Claude-Michel Schönberg,Schönberg,Herbert Kretzmer
127,1987 | 41st Tony Awards,Me and My Girl,Douglas Furber & L. Arthur Rose,Noel Gay,Furber & Rose
128,1987 | 41st Tony Awards,Rags,Joseph Stein,Charles Strouse,Stephen Schwartz
129,1987 | 41st Tony Awards,Starlight Express,N/A,Andrew Lloyd Webber,Richard Stilgoe
130,1988 | 42nd Tony Awards,The Phantom of the Opera,Richard Stilgoe & Andrew Lloyd Webber,Webber,Charles Hart
131,1988 | 42nd Tony Awards,Into the Woods,James Lapine,Stephen Sondheim,Stephen Sondheim
132,1988 | 42nd Tony Awards,Romance/Romance,Barry Harman,Keith Herrmann,Harman
133,1988 | 42nd Tony Awards,Sarafina!,Mbongeni Ngema,Mbongeni Ngema,Mbongeni Ngema
134,1989 | 43rd Tony Awards,Jerome Robbins' Broadway,N/A,Various,Various
135,1989 | 43rd Tony Awards,Black and Blue,N/A,Various,Various
136,1989 | 43rd Tony Awards,Starmites,Barry Keating & Stuart Ross,Keating,Keating
